Timing Resolution (pulses per quarter note),,,,,,,,
4,,,,,,,,
,,,,,,,,
Instrument,105,Banjo,Instrument,114,Steel Drum,Instrument,71,Clarinet
,,,,,,,,
Tick,Note (0-127),Velocity (0-127),Tick,Note (0-127),Velocity (0-127),Tick,Note (0-127),Velocity (0-127)
0,60,90,5,60,90,10,80,100
1,65,90,5,64,90,11,82,100
2,69,90,5,67,90,,,
3,72,90,5,72,90,,,
4,73,90,5,53,90,,,
5,72,90,5,65,90,,,
6,69,90,5,68,90,,,
7,65,90,5,73,90,,,
8,60,90,5,55,90,,,
9,55,90,5,64,90,,,
10,51,90,5,67,90,,,
11,48,90,5,72,90,,,
12,48,90,5,65,90,51,82,0
13,48,90,5,71,90,40,80,120
14,51,90,5,48,90,41,80,0
15,55,90,5,64,90,,,
16,60,90,5,67,90,,,
17,65,90,5,72,90,,,
18,69,90,5,50,90,,,
19,72,90,5,61,90,,,
20,73,90,5,65,90,20,80,120
21,72,90,5,68,90,20,82,120
22,69,90,5,73,90,30,80,0
23,65,90,5,54,90,,,
24,60,90,5,66,90,51,80,0
25,55,90,5,69,90,,,
26,51,90,5,74,90,,,
27,48,90,5,56,90,31,82,0
28,48,90,5,65,90,,,
29,48,90,5,68,90,,,
30,51,90,5,73,90,,,
31,55,90,5,66,90,,,
32,60,90,5,72,90,,,
33,65,90,5,49,90,,,
34,69,90,5,65,90,,,
35,72,90,5,68,90,,,
36,73,90,5,73,90,,,
37,72,90,5,51,90,,,
38,69,90,5,62,90,,,
39,65,90,5,66,90,,,
40,60,90,5,69,90,,,
41,55,90,5,74,90,,,
42,51,90,5,55,90,,,
43,48,90,5,67,90,,,
44,48,90,5,70,90,,,
45,48,90,5,75,90,,,
46,51,90,5,57,90,,,
47,55,90,5,66,90,,,
48,60,90,5,69,90,,,
49,65,90,5,74,90,,,
50,69,0,5,67,90,,,
