***** Generated by SMURF *****
number of trace: 4
Time Resolution (pulses per quarter note),4,
track 1,0,track 2,48,track 3,48,track 4,48,
Tick, Note (0-127), Velocity (0-127), Tick, Note (0-127), Velocity (0-127), Tick, Note (0-127), Velocity (0-127), Tick, Note (0-127), Velocity (0-127), 
0,60,90,,,,,,,,,,
2,60,0,,,,,,,,,,
2,62,90,,,,,,,,,,
4,62,0,,,,,,,,,,
4,64,90,,,,,,,,,,
6,64,0,,,,,,,,,,
6,65,90,,,,,,,,,,
8,65,0,,,,,,,,,,
8,67,90,,,,,,,,,,
10,67,0,,,,,,,,,,
10,69,90,,,,,,,,,,
12,69,0,,,,,,,,,,
12,71,90,,,,,,,,,,
14,71,0,,,,,,,,,,
14,72,90,,,,,,,,,,
32,72,0,,,,,,,,,,
,,,16,71,90,,,,,,,
,,,18,71,0,,,,,,,
,,,18,69,90,,,,,,,
,,,30,69,0,,,,,,,
,,,,,,20,67,90,,,,
,,,,,,22,67,0,,,,
,,,,,,22,65,90,,,,
,,,,,,32,65,0,,,,
,,,,,,,,,24,64,90,
,,,,,,,,,26,64,0,
,,,,,,,,,26,62,90,
,,,,,,,,,32,62,0,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,30,69,90,,,,,,,
,,,32,69,0,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
36,72,90,36,68,90,36,65,90,36,62,90,
40,72,0,40,68,0,40,65,0,40,62,0,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
44,71,90,44,68,90,44,65,90,44,62,90,
48,71,0,48,68,0,48,65,0,48,62,0,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
52,71,90,52,67,90,52,64,90,52,60,90,
60,71,0,60,67,0,60,64,0,60,60,0,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
